adsh	tag	version	coreg	ddate	qtrs	uom	value	footnote
0001829126-23-004251	AccountsPayableAndAccruedLiabilitiesCurrent	us-gaap/2023		20230331	0	USD	292226.0000	
0001829126-23-004251	AccountsPayableAndAccruedLiabilitiesCurrent	us-gaap/2023		20221231	0	USD	275660.0000	
0001829126-23-004251	AccountsPayableAndAccruedLiabilitiesCurrent	us-gaap/2023		20211231	0	USD	167050.0000	
0001829126-23-004251	AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment	us-gaap/2023		20221231	0	USD	22599.0000	
0001829126-23-004251	AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment	us-gaap/2023		20211231	0	USD	498.0000	
0001829126-23-004251	AdditionalPaidInCapital	us-gaap/2023		20230331	0	USD	16287020.0000	
0001829126-23-004251	AdditionalPaidInCapital	us-gaap/2023		20221231	0	USD	14330343.0000	
0001829126-23-004251	AdditionalPaidInCapital	us-gaap/2023		20211231	0	USD	4842836.0000	
0001829126-23-003451	AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue	us-gaap/2023		20220331	1	USD	66114.0000	
0001829126-23-003451	AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue	us-gaap/2023		20230331	1	USD	38523.0000	
0001829126-23-003451	Assets	us-gaap/2023		20220331	0	USD	36864518.0000	
0001829126-23-003451	Assets	us-gaap/2023		20221231	0	USD	25035662.0000	
0001829126-23-003451	Assets	us-gaap/2023		20230331	0	USD	25106938.0000	
0001829126-23-003450	Assets	us-gaap/2023		20221231	0	USD	245442000.0000	
0001829126-23-003450	Assets	us-gaap/2023		20230331	0	USD	242863000.0000	
0001829126-23-003450	Cash	us-gaap/2023		20230331	0	USD	12900000.0000	
0001829126-23-003462	Cash	us-gaap/2023		20221231	0	USD	110991.0000	
0001829126-23-003462	Cash	us-gaap/2023		20230331	0	USD	26694.0000	
0001829126-23-003491	Cash	us-gaap/2023		20230331	0	USD	444879.0000	
0001829126-23-003491	Cash	us-gaap/2023		20221231	0	USD	1227654.0000	
0001829126-23-003456	Cash	us-gaap/2023		20221231	0	USD	124237.0000	
0001829126-23-003456	Cash	us-gaap/2023		20230331	0	USD	423760.0000	
0001829126-23-003459	Cash	us-gaap/2023		20220331	0	USD	37775000.0000	
0001829126-23-003459	Cash	us-gaap/2023		20230331	0	USD	58805000.0000	
